state,White,Black,Brown,Asian,Indigenous,Not Declared
AC,23.3,5.7,66.9,2,2.1,0
AL,31,6.6,60.8,1.1,0.4,0
AM,21.2,4.1,69,0.9,4.8,0
AP,23.8,8.4,65.7,1.1,1.1,0
BA,22,17,59.5,1.2,0.4,0
CE,31.6,4.6,62.3,1.2,0.2,0
DF,41.8,7.6,48.6,1.7,0.3,0
ES,42.1,8.3,48.7,0.6,0.3,0
GO,41.4,6.5,50.3,1.7,0.1,0
MA,21.9,9.6,66.9,1.1,0.5,0
MG,45.1,9.2,44.6,1,0.2,0
MS,46.8,4.9,44.1,1.2,2.9,0
MT,37.2,7.4,52.8,1.2,1.4,0
PA,21.6,7,69.9,0.9,0.5,0
PB,39.7,5.6,52.9,1.2,0.5,0
PE,36.5,6.4,55.5,1,0.6,0
PI,24.2,9.3,64.3,2.1,0.1,0
PR,70.1,3.1,25.4,1.2,0.2,0
RJ,47.4,12.1,39.6,0.8,0.1,0
RN,40.8,5.2,52.8,1.1,0.1,0
RO,35,6.8,55.8,1.4,0.9,0.1
RR,20.9,6,60.9,1,11.2,0
RS,83.2,5.5,10.6,0.3,0.3,0
SC,83.9,2.9,12.6,0.4,0.3,0
SE,27.7,8.9,61.8,1.3,0.3,0
SP,63.7,5.4,29.4,1.4,0.1,0
TO,24.5,9.1,63.6,2,0.9,0
